order_id,lat,lon,created_at,weight_kg,priority
ORD-00001,10.781659,106.678925,2025-03-12T21:14:00,1.37,normal
ORD-00002,10.783038,106.711011,2025-01-24T03:02:00,0.53,normal
ORD-00003,10.766608,106.700275,2025-05-24T20:45:00,5.3,express
ORD-00004,10.766156,106.699803,2025-01-02T19:44:00,3.55,express
ORD-00005,10.763753,106.713417,2025-03-28T17:05:00,3.23,express
ORD-00006,10.789357,106.700338,2025-01-13T04:34:00,1.26,express
ORD-00007,10.760916,106.688848,2025-06-11T01:36:00,1.78,normal
ORD-00008,10.759696,106.686432,2025-03-16T16:54:00,2.09,normal
ORD-00009,10.772065,106.694776,2025-04-04T19:23:00,3.04,express
ORD-00010,10.783967,106.703291,2025-01-19T19:34:00,5.91,normal
ORD-00011,10.775104,106.687988,2025-06-13T21:43:00,2.8,normal
ORD-00012,10.766475,106.679188,2025-03-23T02:17:00,0.81,express
ORD-00013,10.765867,106.696472,2025-06-15T04:09:00,2.34,normal
ORD-00014,10.785565,106.697942,2025-05-31T03:57:00,4.79,express
ORD-00015,10.766115,106.714909,2025-05-12T05:05:00,6.12,normal
ORD-00016,10.763655,106.683919,2025-06-25T03:38:00,0.79,express
ORD-00017,10.780048,106.695318,2025-03-06T14:43:00,5.85,express
ORD-00018,10.786438,106.690586,2025-03-18T03:10:00,3.79,express
ORD-00019,10.79396,106.706193,2025-05-10T17:55:00,5.11,normal
ORD-00020,10.763655,106.706213,2025-05-20T06:58:00,0.3,express
ORD-00021,10.776078,106.682139,2025-04-03T23:15:00,0.75,normal
ORD-00022,10.761169,106.695982,2025-01-18T18:08:00,5.38,normal
ORD-00023,10.767807,106.71028,2025-04-19T20:59:00,4.45,normal
ORD-00024,10.784379,106.692763,2025-06-22T01:28:00,7.23,express
ORD-00025,10.762477,106.686314,2025-03-28T14:37:00,4.57,normal
ORD-00026,10.758266,106.70419,2025-01-16T21:04:00,7.27,express
ORD-00027,10.760622,106.686806,2025-06-22T05:13:00,4.45,express
ORD-00028,10.766991,106.6955,2025-04-15T20:06:00,1.05,express
